model,RE,DE,BO,GU,VB
Claude Opus 4.6,+1.50,+0.81,-0.93,+0.20,+0.52
Claude Sonnet 4.6,+1.41,+1.03,-1.44,-0.09,-0.50
Claude Haiku 4.5,+1.39,+1.31,+0.25,+2.44,-0.32
GPT-5.4,+0.81,-1.45,-0.17,-0.96,+0.77
GPT-5.4 Mini,-1.11,-1.88,+1.29,-0.66,+0.19
GPT-5.4 Nano,-0.44,-0.41,+0.31,+1.36,-3.55
GPT-OSS 120B,+0.50,+1.06,+0.28,+0.09,+0.10
Gemini 3.1 Pro,+0.79,-1.02,-2.63,-0.51,+0.02
Gemini 3.1 Flash,+0.21,-1.04,+0.61,-0.53,-0.01
Gemma 3 27B,-1.52,-1.73,-0.06,+1.40,+1.67
Grok 4.20,-0.46,+0.53,+0.72,+0.19,-0.56
Llama 4 Maverick,-0.95,+1.12,+0.52,+1.02,+0.72
Mistral Large 3,-1.24,-1.19,+0.28,-0.91,+1.20
DeepSeek R1,-0.08,+0.78,-0.47,-1.74,+0.07
DeepSeek V3.2,-0.72,+0.16,+1.26,-1.18,+0.30
Qwen 3.5,+0.52,-0.90,-1.70,-0.47,-0.39
Kimi K2.5,+1.69,+0.38,+0.57,+1.40,-0.21
GLM-5,+1.04,+0.21,-1.25,-0.57,-1.52
MiniMax M2.5,+0.78,+1.39,-0.68,-0.32,-0.97
MiMo V2 Pro,-0.45,-0.35,+1.51,-1.43,+0.79
Command A,-0.20,+0.53,+0.50,+0.13,+0.69
Nova 2 Pro,-0.78,-0.26,-0.52,-0.17,+0.53
Phi 4,-1.66,-0.58,+0.57,-0.25,-0.07
Jamba Large 1.7,-0.95,+0.89,+0.31,+0.87,+0.28
Nemotron 3 Super,-0.08,+0.61,+0.85,+0.68,+0.28
